percentage(no padding),percentage(padding),overflow,compress(ms),decompress(ms),correctness(1/0)
0.927,0.927,0.7414,0.149,0.143,1
0.9037,0.9037,0.7791,0.192,0.183,1
0.8619,0.8619,0.847,0.191,0.163,1
0.7849,0.7849,0.2737,0.193,0.187,1
0.9177,0.9177,0.7565,0.191,0.184,1
0.7543,0.7543,0.2241,0.19,0.149,1
0.9482,0.9482,0.7069,0.183,0.19,1
0.8479,0.8479,0.8696,0.123,0.153,1
0.8606,0.8606,0.8491,0.189,0.189,1
0.9688,0.9688,0.6735,0.186,0.183,1
0.9761,0.9761,0.5841,0.186,0.184,1
0.99,0.99,0.639,0.17,0.192,1
0.911,0.911,0.7672,0.179,0.189,1
0.9336,0.9336,0.5151,0.193,0.187,1
0.8898,0.8898,0.8017,0.194,0.152,1
0.8931,0.8931,0.7963,0.187,0.152,1
0.9821,0.9821,0.6519,0.187,0.185,1
0.8426,0.8426,0.8782,0.186,0.184,1
0.7364,0.7364,0.195,0.19,0.175,1
0.907,0.907,0.7737,0.188,0.186,1
0.8825,0.8825,0.8136,0.193,0.186,1
0.741,0.741,0.2026,0.191,0.181,1
0.909,0.909,0.7705,0.187,0.186,1
0.8944,0.8944,0.7942,0.185,0.183,1
0.8997,0.8997,0.7856,0.184,0.189,1
0.7125,0.7125,0.1562,0.191,0.196,1
0.915,0.915,0.7608,0.182,0.181,1
0.8878,0.8878,0.805,0.185,0.186,1
0.917,0.917,0.7575,0.197,0.187,1
0.8659,0.8659,0.8405,0.182,0.188,1
0.7424,0.7424,0.2047,0.168,0.184,1
0.9183,0.9183,0.7554,0.182,0.179,1
0.8426,0.8426,0.3675,0.186,0.144,1
0.9309,0.9309,0.7349,0.184,0.214,1
0.8884,0.8884,0.8039,0.187,0.186,1
0.8486,0.8486,0.8685,0.181,0.182,1
0.9748,0.9748,0.5819,0.193,0.188,1
0.8672,0.8672,0.4073,0.158,0.156,1
0.9044,0.9044,0.778,0.188,0.182,1
0.9031,0.9031,0.7802,0.191,0.181,1
0.9681,0.9681,0.6746,0.192,0.189,1
0.9482,0.9482,0.5388,0.188,0.2,1
0.9409,0.9409,0.5269,0.188,0.197,1
0.9137,0.9137,0.7629,0.188,0.19,1
0.8745,0.8745,0.8265,0.186,0.198,1
0.7503,0.7503,0.2177,0.157,0.16,1
0.9469,0.9469,0.7091,0.186,0.18,1
0.8904,0.8904,0.8006,0.125,0.178,1
0.8884,0.8884,0.8039,0.184,0.185,1
0.9183,0.9183,0.7554,0.191,0.186,1
0.8898,0.8898,0.8017,0.192,0.186,1
0.8738,0.8738,0.8276,0.187,0.189,1
0.7092,0.7092,0.1509,0.154,0.165,1
0.9057,0.9057,0.7759,0.184,0.149,1
0.8566,0.8566,0.8556,0.182,0.18,1
0.8559,0.8559,0.389,0.184,0.191,1
0.47,0.47,0.6142,0.184,0.184,1
0.8665,0.8665,0.4062,0.152,0.155,1
0.9124,0.9124,0.7651,0.186,0.187,1
0.8991,0.8991,0.7866,0.188,0.183,1
0.8858,0.8858,0.8082,0.187,0.186,1
0.913,0.913,0.764,0.12,0.154,1
0.7463,0.7463,0.2112,0.151,0.151,1
0.9064,0.9064,0.7748,0.189,0.182,1
0.8871,0.8871,0.806,0.189,0.196,1
0.9203,0.9203,0.7522,0.188,0.183,1
0.9807,0.9807,0.5916,0.185,0.197,1
0.9329,0.9329,0.514,0.187,0.2,1
0.9323,0.9323,0.7328,0.2,0.186,1
0.8566,0.8566,0.8556,0.187,0.186,1
0.9004,0.9004,0.7845,0.153,0.164,1
0.8958,0.8958,0.792,0.147,0.161,1
0.9874,0.9874,0.6433,0.207,0.192,1
0.8632,0.8632,0.4009,0.184,0.192,1
0.7337,0.7337,0.1907,0.186,0.183,1
0.9363,0.9363,0.7263,0.2,0.186,1
0.9283,0.9283,0.7392,0.14,0.18,1
0.9788,0.9788,0.6573,0.191,0.188,1
0.913,0.913,0.764,0.19,0.174,1
0.9163,0.9163,0.7586,0.184,0.183,1
0.8566,0.8566,0.8556,0.193,0.195,1
0.7968,0.7968,0.2931,0.196,0.195,1
0.8991,0.8991,0.4591,0.196,0.167,1
0.8977,0.8977,0.7888,0.199,0.181,1
0.8758,0.8758,0.8244,0.196,0.188,1
0.9489,0.9489,0.7058,0.196,0.181,1
0.7835,0.7835,0.2716,0.158,0.194,1
0.9495,0.9495,0.7047,0.193,0.184,1
0.909,0.909,0.7705,0.198,0.199,1
0.8865,0.8865,0.8071,0.186,0.197,1
0.8473,0.8473,0.375,0.193,0.187,1
0.9137,0.9137,0.7629,0.188,0.18,1
0.8971,0.8971,0.7899,0.186,0.196,1
0.9568,0.9568,0.6929,0.196,0.184,1
0.8625,0.8625,0.3998,0.193,0.207,1
0.9117,0.9117,0.7662,0.191,0.186,1
0.9183,0.9183,0.7554,0.188,0.191,1
0.9323,0.9323,0.7328,0.188,0.189,1
0.921,0.921,0.7511,0.172,0.189,1
0.8938,0.8938,0.7953,0.188,0.181,1
0.8805,0.8805,0.8168,0.198,0.186,1
0.7357,0.7357,0.194,0.155,0.194,1
0.9137,0.9137,0.7629,0.194,0.184,1
0.8865,0.8865,0.8071,0.188,0.155,1
0.8493,0.8493,0.8675,0.194,0.193,1
0.7145,0.7145,0.1595,0.189,0.187,1
0.9309,0.9309,0.7349,0.19,0.192,1
0.9137,0.9137,0.7629,0.188,0.18,1
0.8705,0.8705,0.833,0.226,0.155,1
0.7251,0.7251,0.1767,0.193,0.19,1
0.923,0.923,0.7478,0.175,0.22,1
0.911,0.911,0.7672,0.189,0.161,1
0.8519,0.8519,0.8631,0.19,0.182,1
0.8021,0.8021,0.3017,0.157,0.166,1
0.844,0.844,0.3696,0.18,0.193,1
0.9236,0.9236,0.4989,0.187,0.187,1
0.9017,0.9017,0.7823,0.185,0.19,1
0.8805,0.8805,0.8168,0.181,0.184,1
0.9741,0.9741,0.6649,0.188,0.186,1
0.9542,0.9542,0.5485,0.183,0.183,1
0.905,0.905,0.7769,0.136,0.163,1
0.8725,0.8725,0.8297,0.187,0.19,1
0.9641,0.9641,0.681,0.194,0.185,1
0.9163,0.9163,0.7586,0.17,0.195,1
0.8865,0.8865,0.8071,0.189,0.188,1
0.7218,0.7218,0.1713,0.186,0.189,1
0.9243,0.9243,0.7457,0.191,0.186,1
0.9017,0.9017,0.7823,0.19,0.18,1
0.7311,0.7311,0.1864,0.184,0.179,1
0.8938,0.8938,0.7953,0.118,0.157,1
0.8865,0.8865,0.8071,0.193,0.182,1
0.921,0.921,0.7511,0.188,0.183,1
0.8838,0.8838,0.8114,0.187,0.185,1
0.8991,0.8991,0.7866,0.188,0.182,1
0.7351,0.7351,0.1929,0.18,0.202,1
0.8977,0.8977,0.7888,0.192,0.186,1
0.8944,0.8944,0.7942,0.186,0.189,1
0.8552,0.8552,0.8578,0.166,0.187,1
0.7463,0.7463,0.2112,0.188,0.187,1
0.9031,0.9031,0.7802,0.185,0.168,1
0.8984,0.8984,0.7877,0.186,0.19,1
0.8931,0.8931,0.7963,0.196,0.187,1
0.755,0.755,0.2252,0.158,0.188,1
0.9316,0.9316,0.5119,0.181,0.168,1
0.67,0.67,0.6175,0.182,0.186,1
0.8958,0.8958,0.792,0.187,0.182,1
0.8878,0.8878,0.805,0.198,0.187,1
0.9801,0.9801,0.5905,0.187,0.199,1
0.9104,0.9104,0.4774,0.182,0.185,1
0.8918,0.8918,0.7985,0.187,0.182,1
0.925,0.925,0.7446,0.181,0.187,1
0.9243,0.9243,0.7457,0.182,0.19,1
0.8778,0.8778,0.8211,0.181,0.186,1
0.8506,0.8506,0.8653,0.136,0.184,1
0.7138,0.7138,0.1584,0.191,0.15,1
0.9768,0.9768,0.6606,0.186,0.149,1
0.8898,0.8898,0.8017,0.19,0.166,1
0.8785,0.8785,0.82,0.187,0.182,1
0.8778,0.8778,0.4246,0.187,0.182,1
0.923,0.923,0.7478,0.185,0.191,1
0.907,0.907,0.7737,0.171,0.159,1
0.8679,0.8679,0.8373,0.182,0.188,1
0.7809,0.7809,0.2672,0.157,0.185,1
0.9356,0.9356,0.7274,0.189,0.183,1
0.9024,0.9024,0.7812,0.185,0.181,1
0.7915,0.7915,0.2845,0.146,0.193,1
0.9024,0.9024,0.7812,0.167,0.188,1
0.47,0.47,0.6142,0.188,0.182,1
0.988,0.988,0.6034,0.184,0.217,1
0.9163,0.9163,0.7586,0.186,0.167,1
0.8639,0.8639,0.8438,0.155,0.156,1
0.9475,0.9475,0.708,0.185,0.191,1
0.8924,0.8924,0.7974,0.162,0.184,1
0.9077,0.9077,0.7726,0.187,0.191,1
0.9675,0.9675,0.6756,0.182,0.185,1
0.8944,0.8944,0.4515,0.188,0.186,1
0.921,0.921,0.7511,0.187,0.184,1
0.7882,0.7882,0.2791,0.182,0.18,1
0.911,0.911,0.7672,0.164,0.185,1
0.8533,0.8533,0.861,0.181,0.192,1
0.9814,0.9814,0.653,0.187,0.18,1
0.925,0.925,0.7446,0.186,0.19,1
0.8645,0.8645,0.8427,0.19,0.186,1
0.8738,0.8738,0.4181,0.187,0.188,1
0.7417,0.7417,0.2037,0.186,0.181,1
0.9309,0.9309,0.7349,0.184,0.186,1
0.909,0.909,0.7705,0.187,0.157,1
0.9761,0.9761,0.6616,0.187,0.186,1
0.913,0.913,0.764,0.183,0.182,1
0.9017,0.9017,0.7823,0.187,0.151,1
0.8811,0.8811,0.8157,0.195,0.187,1
0.8718,0.8718,0.4149,0.185,0.187,1
0.7377,0.7377,0.1972,0.18,0.163,1
0.9243,0.9243,0.7457,0.189,0.183,1
0.8944,0.8944,0.7942,0.183,0.187,1
0.8552,0.8552,0.8578,0.188,0.186,1
0.7105,0.7105,0.153,0.157,0.154,1
0.923,0.923,0.7478,0.193,0.17,1
0.8805,0.8805,0.8168,0.139,0.173,1
0.8918,0.8918,0.7985,0.184,0.187,1
0.9117,0.9117,0.7662,0.188,0.184,1
0.8898,0.8898,0.8017,0.185,0.167,1
0.8506,0.8506,0.8653,0.192,0.169,1
0.6979,0.6979,0.1325,0.184,0.185,1
0.47,0.47,0.6142,0.196,0.181,1
0.8865,0.8865,0.8071,0.2,0.16,1
0.8884,0.8884,0.8039,0.187,0.187,1
0.915,0.915,0.4849,0.202,0.15,1
0.8632,0.8632,0.8448,0.184,0.189,1
0.7556,0.7556,0.2263,0.184,0.187,1
0.915,0.915,0.7608,0.186,0.189,1
0.8732,0.8732,0.8287,0.18,0.185,1
0.8845,0.8845,0.4353,0.19,0.185,1
0.9243,0.9243,0.7457,0.184,0.188,1
0.9017,0.9017,0.7823,0.192,0.195,1
0.8699,0.8699,0.8341,0.14,0.173,1
0.6939,0.6939,0.1261,0.188,0.188,1
0.925,0.925,0.7446,0.185,0.189,1
0.8838,0.8838,0.8114,0.19,0.189,1
0.8625,0.8625,0.8459,0.182,0.182,1
0.9329,0.9329,0.7317,0.118,0.159,1
0.739,0.739,0.1994,0.186,0.184,1
0.919,0.919,0.7543,0.188,0.183,1
0.907,0.907,0.7737,0.184,0.183,1
0.9177,0.9177,0.4892,0.181,0.184,1
0.9376,0.9376,0.7241,0.181,0.181,1
0.8958,0.8958,0.792,0.114,0.162,1
0.8645,0.8645,0.8427,0.19,0.192,1
0.9754,0.9754,0.6627,0.184,0.187,1
0.7331,0.7331,0.1897,0.187,0.196,1
0.9363,0.9363,0.7263,0.183,0.199,1
0.8997,0.8997,0.7856,0.184,0.197,1
0.8997,0.8997,0.7856,0.182,0.195,1
0.9236,0.9236,0.7468,0.186,0.151,1
0.8705,0.8705,0.833,0.186,0.197,1
0.8805,0.8805,0.8168,0.19,0.187,1
0.745,0.745,0.2091,0.146,0.192,1
0.9356,0.9356,0.7274,0.155,0.163,1
0.9104,0.9104,0.7683,0.187,0.159,1
0.8858,0.8858,0.8082,0.189,0.186,1
0.4721,0.2338,00.151,0.198,1
0.9429,0.9429,0.7155,0.192,0.187,1
0.8911,0.8911,0.7996,0.203,0.183,1
0.8765,0.8765,0.8233,0.197,0.168,1
0.7517,0.7517,0.2198,0.152,0.192,1
0.9296,0.9296,0.7371,0.118,0.165,1
0.8924,0.8924,0.7974,0.189,0.187,1
0.8526,0.8526,0.8621,0.182,0.165,1
0.929,0.929,0.7381,0.18,0.199,1
0.8898,0.8898,0.8017,0.201,0.167,1
0.8718,0.8718,0.8308,0.189,0.163,1
0.7344,0.7344,0.1918,0.18,0.189,1
0.6,0.6,0.6164,0.186,0.187,1
0.9004,0.9004,0.7845,0.184,0.198,1
0.8871,0.8871,0.806,0.185,0.186,1
0.8685,0.8685,0.4095,0.196,0.185,1
0.9097,0.9097,0.7694,0.194,0.187,1
0.7809,0.7809,0.2672,0.186,0.195,1
0.9329,0.9329,0.7317,0.186,0.17,1
0.8991,0.8991,0.7866,0.181,0.202,1
0.8778,0.8778,0.8211,0.195,0.181,1
0.7424,0.7424,0.2047,0.2,0.182,1
0.9243,0.9243,0.7457,0.186,0.194,1
0.8931,0.8931,0.7963,0.188,0.193,1
0.54,0.54,0.6304,0.182,0.181,1
0.8944,0.8944,0.7942,0.189,0.195,1
0.8891,0.8891,0.8028,0.185,0.197,1
0.9741,0.9741,0.6649,0.185,0.153,1
0.8546,0.8546,0.3869,0.187,0.197,1
0.9894,0.9894,0.6056,0.186,0.2,1
0.9057,0.9057,0.7759,0.182,0.192,1
0.8665,0.8665,0.8394,0.188,0.197,1
0.9382,0.9382,0.7231,0.186,0.156,1
0.8938,0.8938,0.7953,0.187,0.194,1
0.7483,0.7483,0.2144,0.198,0.187,1
0.9177,0.9177,0.7565,0.191,0.168,1
0.6,0.6,0.6293,0.128,0.161,1
0.909,0.909,0.7705,0.196,0.181,1
0.9243,0.9243,0.7457,0.188,0.185,1
0.8891,0.8891,0.8028,0.199,0.188,1
0.8918,0.8918,0.4472,0.163,0.192,1
0.8924,0.8924,0.7974,0.194,0.183,1
0.8685,0.8685,0.8362,0.181,0.147,1
0.7629,0.7629,0.2381,0.188,0.18,1
0.7337,0.7337,0.1907,0.183,0.189,1
0.9097,0.9097,0.7694,0.184,0.167,1
0.9084,0.9084,0.7716,0.14,0.163,1
0.8798,0.8798,0.8179,0.192,0.165,1
0.9887,0.9887,0.6412,0.186,0.164,1
0.927,0.927,0.7414,0.198,0.149,1
0.9011,0.9011,0.7834,0.182,0.186,1
0.8586,0.8586,0.8524,0.187,0.162,1
0.8938,0.8938,0.4504,0.185,0.184,1
0.8506,0.8506,0.8653,0.196,0.183,1
0.7198,0.7198,0.1681,0.19,0.182,1
0.9037,0.9037,0.7791,0.185,0.184,1
0.9216,0.9216,0.75,0.181,0.181,1
0.8599,0.8599,0.8502,0.186,0.182,1
0.7789,0.7789,0.264,0.185,0.185,1
0.9681,0.9681,0.6746,0.187,0.186,1
0.921,0.921,0.7511,0.198,0.188,1
0.8871,0.8871,0.806,0.184,0.187,1
0.8865,0.8865,0.4386,0.184,0.198,1
0.8964,0.8964,0.7909,0.181,0.186,1
0.9754,0.9754,0.6627,0.191,0.188,1
0.844,0.844,0.3696,0.149,0.193,1
0.9376,0.9376,0.7241,0.187,0.186,1
0.8938,0.8938,0.7953,0.186,0.198,1
0.9595,0.9595,0.6886,0.189,0.18,1
0.911,0.911,0.4784,0.191,0.19,1
0.9489,0.9489,0.5399,0.191,0.2,1
0.9064,0.9064,0.7748,0.188,0.146,1
0.8752,0.8752,0.8254,0.193,0.187,1
0.9635,0.9635,0.5636,0.191,0.187,1
0.8884,0.8884,0.4418,0.186,0.186,1
0.9177,0.9177,0.7565,0.19,0.19,1
0.8931,0.8931,0.7963,0.186,0.188,1
0.9396,0.9396,0.5248,0.181,0.185,1
0.9622,0.9622,0.5614,0.191,0.183,1
